k,inertia,silhouette_score,calinski_harabasz_index,davies_bouldin_index,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,combined_rank_score
2,82611.53119523767,0.28155771031458143,2609.2555164434425,1.497816476170186,4.0,5.0,9.0,18.0
3,66935.62615061061,0.31558670751833673,2657.6520351281724,1.209962843615201,1.0,3.0,8.0,12.0
4,54707.82049923986,0.2883860960108789,2834.03999942961,1.1784958681067939,2.0,1.0,6.0,9.0
5,48337.53779390843,0.2852057316184317,2700.0946468473094,1.098502738740828,3.0,2.0,2.0,7.0
6,43336.981641029204,0.2715047903425692,2615.5006372605953,1.0868695759513907,9.0,4.0,1.0,14.0
7,39553.35578743418,0.27588656699699554,2530.359538009481,1.158340303272124,6.0,6.0,5.0,17.0
8,36410.409051673596,0.27247725786475435,2466.09395416303,1.1850393533451626,8.0,7.0,7.0,22.0
9,33939.17241364046,0.27838570472401186,2396.0675557451364,1.1380552871720437,5.0,8.0,3.0,16.0
10,32186.47115303886,0.27386399386924387,2299.6702707170643,1.1514375972537496,7.0,9.0,4.0,20.0
