Cluster,Cluster_Name,count,percentage,BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,TENURE
0,低活跃低消费客户,3264,0.3646927374301676,890.7407834359681,1207.8854656862745,559.1039859068627,649.1470680147058,210.08054350398282,4073.1066950137865,1288.8684481262253,649.029572119179,0.2632122607230392,0.8892176265318628,0.043423329350490196,11.582720588235293
1,取现依赖型客户,1236,0.1381005586592179,4468.808319283981,463.43453074433654,290.84080906148864,172.6759789644013,4451.700931785599,7316.427625772653,3399.0530582686088,1953.163361145631,0.035135986245954695,0.2735404296116505,0.48428407524271844,11.34789644012945
2,高余额高还款压力客户,3986,0.44536312849162013,1003.3022873896136,278.17645760160565,215.86178625188157,62.513286502759655,565.5343039550929,3348.6084629535876,962.4825050955845,548.200610213999,0.08300632262920221,0.17789352282990467,0.10898331535373808,11.465629703963874
3,高消费高信用额度客户,464,0.05184357541899441,3388.0642034784482,7229.587629310345,4865.290387931035,2365.5903448275863,686.7919726659483,9781.35775862069,7041.133654325431,1819.4945931336208,0.30674569827586207,0.9462317284482759,0.07505222844827586,11.952586206896552
